Date,Close,High,Low,Open,Volume
12/28/2021,175.2805481,177.2749361,174.5375493,176.1311025,79144300
12/29/2021,175.3684998,176.5905458,174.1562247,175.3196149,62348900
12/30/2021,174.2149353,176.5319455,174.1073946,175.4565386,59773000
12/31/2021,173.598999,175.221865,173.295919,174.1073595,64062300
1/3/2022,177.9397125,178.7902669,173.7358852,173.8531969,104487900
1/4/2022,175.681366,178.8489152,175.1143347,178.5458501,99310400
1/5/2022,171.0082855,176.1408805,170.7345483,175.5934061,94537600
1/6/2022,168.1535797,171.3797851,167.8016298,168.8379227,96904000
1/7/2022,168.3197784,170.2457247,167.2052727,169.0236784,86709100
1/10/2022,168.3393097,168.6423748,164.409205,165.2988582,106765600
1/11/2022,171.1646729,171.2624276,166.999945,168.4664003,76138300
1/12/2022,171.60466,173.2177555,170.910546,172.1814624,74805200
1/13/2022,168.3393097,172.6702342,167.948246,171.8490228,84505800
1/14/2022,169.1996613,169.8937752,167.263929,167.5083383,80440800
1/18/2022,166.0027924,168.6815086,165.6215145,167.6745435,90956700
1/19/2022,162.5126038,167.2541495,162.2290956,166.1982996,94815000
1/20/2022,160.8310699,165.8854518,160.5084479,163.2458347,91420500
1/21/2022,158.7780304,162.6103657,158.6704897,160.7430754,122848900
1/24/2022,158.0056915,158.6704925,151.2404451,156.4414812,162294600
1/25/2022,156.2068481,159.1202024,153.5085752,155.4247355,115798400
1/26/2022,156.118866,160.7137572,154.2906894,159.8436608,108275300
1/27/2022,155.6593933,160.1760723,154.740412,158.8171572,121954600
1/28/2022,166.5209045,166.5404615,159.1592995,162.0042266,179935700
1/31/2022,170.8714447,171.0865261,165.719292,166.3547652,115541600
2/1/2022,170.7052002,170.9300525,168.4566321,170.118612,86213900
2/2/2022,171.9077301,171.9468439,169.453866,170.8421091,84914300
2/3/2022,169.0334625,172.298782,168.2709067,170.5781311,89418100
2/4/2022,168.749588,170.423484,167.075692,168.0545747,82465400
2/7/2022,168.0350037,170.2766384,167.3399904,169.2096599,77251200
2/8/2022,171.138031,171.6470541,167.8098215,168.1034893,74829200
2/9/2022,172.5574493,172.9196312,171.2065864,172.3323105,71285000
2/10/2022,168.4852905,171.7743371,167.9273351,170.4626378,90865900
2/11/2022,165.0787811,169.4250228,164.4914455,168.6908608,98670700
2/14/2022,165.3137054,165.9989203,163.0426905,163.8355831,86185500
2/15/2022,169.1410828,169.2977075,166.654728,167.3595246,62527400
2/16/2022,168.9061584,169.679469,166.4589525,168.2209438,61177400
2/17/2022,165.3137054,168.2797187,164.91236,167.4182972,69589300
2/18/2022,163.7670593,166.9386293,162.6804991,166.2338476,82772700
2/22/2022,160.8500061,163.1699532,158.7258176,161.4960573,91162800
2/23/2022,156.689743,162.641336,156.3764934,162.0442171,90009200
2/24/2022,159.30336,159.4110377,148.7901555,149.3579092,141147500
2/25/2022,161.3688354,161.6331231,157.4728712,160.3801543,91974200
2/28/2022,161.6331024,161.9267702,158.9999056,159.6166065,95056600
3/1/2022,159.7536621,163.0818724,158.5496405,161.2219862,83474400
3/2/2022,163.0426636,163.8257725,159.5088972,160.9184904,79724800
3/3/2022,162.719635,165.3430479,162.0540021,164.9123372,76678400
3/4/2022,159.7242584,162.0540036,158.6768619,161.0163905,83737200
3/7/2022,155.9360199,161.5352302,155.6815008,159.9102813,96418800
3/8/2022,154.1153107,159.4404355,152.5099435,155.4661737,131148300
3/9/2022,159.5089417,159.9592343,156.0437033,158.0699828,91454900
3/10/2022,155.1724701,157.0029757,152.6861,156.8169857,105342000
3/11/2022,151.4625397,155.9164596,151.2374008,155.5738447,96970100
3/14/2022,147.4393005,150.8653898,146.9302923,148.2517749,108732100
3/15/2022,151.8149109,152.2847853,147.2043818,147.7133901,92964300
3/16/2022,156.2198792,156.6212246,151.1982213,153.7335238,102300200
3/17/2022,157.2281342,157.6001144,154.3012844,155.2605853,75615400
3/18/2022,160.5171661,161.0066074,156.3862803,157.1204423,123511700
3/21/2022,161.8876495,162.8371671,159.567687,160.0571285,95811400
3/22/2022,165.2549591,165.8422797,161.4275248,162.0148453,81532000
3/23/2022,166.6156006,168.9942779,164.1096488,164.4424802,98062700
3/24/2022,170.3941193,170.4626333,166.6156314,167.4476728,90131400
3/25/2022,171.0304108,171.5785828,169.1020104,170.2081528,80546200
3/28/2022,171.8918152,172.0190598,168.3678313,168.5342396,90371900
3/29/2022,175.1808472,175.2297794,172.6161644,172.9587794,100589400
3/30/2022,174.015976,175.8171165,172.9685643,174.7795032,92633200
3/31/2022,170.922699,174.2704758,170.717127,174.0844857,103049300
4/1/2022,170.6290283,171.1869986,168.3090813,170.3549424,78751300
4/4/2022,174.6718445,174.7207916,170.7563134,170.8835729,76468400
4/5/2022,171.3631897,174.5347748,170.7367054,173.7516657,73401800
4/6/2022,168.2013855,169.963377,166.5372882,168.720192,89058800
4/7/2022,168.5048523,169.6990903,166.2632177,167.5455515,77594700
4/8/2022,166.4981537,168.1524678,165.6269487,168.1524678,76575500
4/11/2022,162.2497864,165.46052,162.0050657,165.1472854,72246700
4/12/2022,164.1194763,166.2827987,163.1210118,164.4718747,79265200
4/13/2022,166.8016205,167.4281049,163.2482861,163.8551887,70618900
4/14/2022,161.7994843,167.6532124,161.5547636,167.0169298,75329400
4/18/2022,161.5841522,163.0818414,160.1158284,160.4584283,69023900
4/19/2022,163.8649292,164.276073,160.4486387,161.5351989,67723800
4/20/2022,163.6985321,165.3136973,162.5924049,165.1962213,67929800
4/21/2022,162.9056396,167.9077303,162.4064149,165.3430627,87227800
4/22/2022,158.3734131,164.3250212,158.0895437,162.9448081,84882400
4/25/2022,159.4404144,159.7242838,155.1137548,157.7175714,96046400
4/26/2022,153.4888,158.9118033,153.4104876,158.8237074,95623200
4/27/2022,153.2636719,156.4156604,152.0987991,152.6176057,88063200
4/28/2022,160.1843567,161.0457782,155.5738128,155.8870624,130216800
4/29/2022,154.3208618,162.6903124,153.9293147,158.422383,131747600
5/2/2022,154.6242828,154.8885704,150.0333216,153.4006797,123055300
5/3/2022,156.1122131,157.3162496,153.0189551,154.8102973,88966500
5/4/2022,162.5140991,162.9643768,155.896843,156.2981884,108256500
5/5/2022,153.4594269,160.6150562,151.6778534,160.3899174,130525300
5/6/2022,154.1848907,156.3023878,151.1458896,152.9398788,116124600
5/9/2022,149.0675812,152.7633948,148.5088061,151.8810971,131577900
5/10/2022,151.4693756,153.655502,149.9204668,152.4595093,115366700
5/11/2022,143.6169891,152.3908568,142.9405654,150.4792344,142689800
5/12/2022,139.7545471,143.3229146,136.0685459,139.9604211,182602000
5/13/2022,144.2150269,145.1855501,140.2937427,141.7446137,113990900
5/16/2022,142.6759338,144.6169805,141.3426965,142.6857466,86643800
5/17/2022,146.3031006,146.8226695,143.7934664,145.9305738,78336300
5/18/2022,138.0488129,144.4601057,137.1469044,143.9601474,109742900
5/19/2022,134.6470947,138.8722758,133.911854,137.1273056,136095600
5/20/2022,134.8823853,137.9311847,130.00039,136.352867,137426100
5/23/2022,140.2937164,140.4407586,134.941158,135.0784024,117726300
5/24/2022,137.5978394,139.1761566,134.6274683,138.0389808,104132700
5/25/2022,137.7547302,138.9997273,135.6176224,135.7058477,92482700
5/26/2022,140.9505157,141.499493,134.4411866,134.6862668,90601500
5/27/2022,146.6951904,146.7343967,142.4013809,142.5288274,90978500
5/31/2022,145.9109497,147.6951408,143.950308,146.1364343,103718400
6/1/2022,145.7835236,148.7538946,144.7737793,146.9500928,74286600
6/2/2022,148.2343292,148.2931461,143.9699273,144.9208398,72348100
6/3/2022,142.5190735,145.0581013,141.61718,144.0091507,88570300
6/6/2022,143.2640839,145.6462712,142.0484807,144.1365688,71598400
6/7/2022,145.7835236,146.06781,141.2642437,141.509324,67808200
6/8/2022,145.0482941,146.9206957,144.5581336,145.6560883,53950200
6/9/2022,139.8329468,145.0384474,139.7251109,144.1855732,69473000
6/10/2022,134.431427,137.9899822,134.3627974,137.5194322,91437900
6/13/2022,129.284729,132.5393867,128.8533854,130.2552372,122207100
6/14/2022,130.1473694,131.2551366,128.8925601,130.5100982,84784300
6/15/2022,132.7648468,134.6372632,129.5592084,131.6472816,91533000
6/16/2022,127.5005569,129.7847069,126.5006253,129.4808097,108123900
6/17/2022,128.9710541,130.4611465,127.255492,127.5103851,134520300
6/21/2022,133.1961975,134.3627818,130.6963912,130.7944143,81000500
6/22/2022,132.6864319,135.0489937,131.2747675,132.1374396,73409200
6/23/2022,135.5489807,135.8626756,132.960934,134.1275183,72433800
6/24/2022,138.8722534,139.1173336,137.0194476,137.1468792,89116800
6/27/2022,138.8722534,140.6662423,138.1958296,139.8917805,70207900
6/28/2022,134.7353058,140.5976205,134.6176721,139.3330132,67083400
6/29/2022,136.4900665,137.9017309,133.9804476,134.7549094,66242400
6/30/2022,134.02948,135.6470035,131.1375362,134.5490489,98964500
7/1/2022,136.1959991,136.3038351,132.99036,133.3628719,71051600
7/5/2022,138.7742004,138.8232195,134.2353107,135.0587914,73353800
7/6/2022,140.1074677,141.2838498,138.3036807,138.5683715,74064300
7/7/2022,143.4699707,143.6660319,140.4603783,140.4701762,66253700
7/8/2022,144.1463776,144.6463508,142.1465295,142.4014076,64547800
7/11/2022,142.0190735,143.7542455,140.9505274,142.8033331,63141600
7/12/2022,142.9895935,145.5286208,142.195536,142.8915554,77588800
7/13/2022,142.6268768,143.5679764,139.3231856,140.1760749,71185600
7/14/2022,145.5482635,146.0188135,140.4309866,141.2446549,78140700
7/15/2022,147.2147522,147.8911758,145.2835193,146.8324277,76259900
7/18/2022,144.175827,148.5872718,143.8130981,147.7736036,81420900
7/19/2022,148.0284271,148.2538967,144.018919,145.0090375,82982400
7/20/2022,150.0283051,150.694931,147.41085,148.1460907,64823400
7/21/2022,152.2928467,152.5085185,148.9499491,151.459568,65086600
7/22/2022,151.0576324,153.2045374,150.3910215,152.3320525,66675400
7/25/2022,149.9400787,151.9889458,149.2832655,150.9792165,53623900
7/26/2022,148.6166382,150.0773066,147.8323786,149.2636385,55138700
7/27/2022,153.7044983,154.2338799,149.165623,149.5773559,78620700
7/28/2022,154.2534943,154.5377807,151.3713485,153.8907654,81378700
7/29/2022,159.3119507,160.4099203,156.36119,158.0669539,101786900
8/1/2022,158.3316193,160.3706885,157.7238251,157.8414588,67829400
8/2/2022,156.861145,159.2139242,156.4886332,156.9493853,59907000
8/3/2022,162.8607178,163.311657,157.5865865,157.6748118,82507500
8/4/2022,162.5470123,163.89986,161.1941646,162.7430735,55474100
8/5/2022,162.3212433,162.8120846,160.0142829,160.2204429,56697000
8/8/2022,161.8499756,164.7361243,161.1922502,163.3224992,60276900
8/9/2022,161.8990936,162.782617,160.2596855,161.0155853,63135500
8/10/2022,166.1399841,166.2381434,163.8428352,164.6085465,70170500
8/11/2022,165.403717,167.8579237,165.1092092,166.944951,57149200
8/12/2022,168.9475555,169.0162655,166.2970009,166.7093208,68039400
8/15/2022,170.0175934,170.2139269,168.2113012,168.3781854,54091700
8/16/2022,169.8605652,170.5281172,168.5156646,169.6151445,56377100
8/17/2022,171.3527069,172.9233901,169.4089795,169.605313,79542000
8/18/2022,170.960022,171.6962839,169.9488901,170.5673549,62290100
8/19/2022,168.3782043,170.5575409,168.1720444,169.8605397,70346300
8/22/2022,164.5005493,166.7485957,164.078418,166.5817115,69026800
8/23/2022,164.1667786,165.6196796,163.5974009,164.0195322,54147100
8/24/2022,164.4613037,165.0306815,163.204751,164.2551587,53841500
8/25/2022,166.9154816,167.0234672,165.2662621,165.6883784,51218200
8/26/2022,160.6229095,167.9168194,160.564011,167.4456159,78961000
8/29/2022,158.4239502,159.916097,156.8925277,158.1981524,73314000
8/30/2022,155.9991608,159.5822957,154.8309563,159.1601794,77906200
8/31/2022,154.3401489,157.6386033,154.2616125,157.3735447,87991100
9/1/2022,155.0665894,155.518155,151.8368452,153.7707611,74229900
9/2/2022,152.9559631,157.4226219,152.1313533,156.823795,76957800
9/6/2022,151.6994171,154.2125223,150.8748073,153.6038838,73714800
9/7/2022,153.1032104,153.8001966,150.7962506,151.984093,87449600
9/8/2022,151.6306915,153.4958824,149.8832828,151.8073872,84923800
9/9/2022,154.4874115,154.9291807,151.9154075,152.6222202,68028800
9/12/2022,160.4363708,161.2511692,156.3820321,156.6667135,104956000
9/13/2022,151.0220642,157.5993354,150.5606721,156.971059,122656600
9/14/2022,152.4651184,154.2223386,150.796261,151.9546393,87965400
9/15/2022,149.5789642,152.3964033,148.6071081,151.8171992,90481100
9/16/2022,147.9395447,148.5776473,145.6522227,148.4402123,162278800
9/19/2022,151.6503296,151.728866,146.3688872,146.5750322,81474200
9/20/2022,154.0259857,155.1843789,150.2759662,150.5900968,107689800
9/21/2022,150.9042511,155.832302,150.786454,154.4579373,101696800
9/22/2022,149.9421997,151.6405063,148.1457188,149.5887934,86652500
9/23/2022,147.6745148,148.6954731,145.838773,148.4206032,96029900
9/26/2022,148.0082703,150.9533177,146.8989643,146.9186021,93339400
9/27/2022,148.9801483,151.8859354,147.2033052,149.9422081,84442700
9/28/2022,147.0952759,147.8806247,142.1868643,144.9355778,146691400
9/29/2022,139.8701019,144.0324406,138.1030706,143.4238023,128138200
9/30/2022,135.6685181,140.4787713,135.4721846,138.692102,124925300
10/3/2022,139.8406982,140.4493517,135.167894,135.6783732,114311700
10/4/2022,143.4238281,143.5416252,141.6175208,142.3734206,87830100
10/5/2022,143.718338,144.6803978,140.3904343,141.4310306,79471000
10/6/2022,142.7660675,144.837418,142.5599226,143.1391116,68402200
10/7/2022,137.5239258,140.4788003,136.8956495,139.9290454,85925600
10/10/2022,137.8478851,139.2909599,136.0317811,137.8478851,74899000
10/11/2022,136.4342499,138.7608479,135.6881765,137.3373961,77033700
10/12/2022,135.8059998,137.7890033,135.629304,136.5815376,70433700
10/13/2022,140.3707886,140.9597891,131.9086751,132.5173284,113224000
10/14/2022,135.8451996,141.8727282,135.6586776,141.6665684,88598000
10/17/2022,139.8014221,140.282437,137.700622,138.485971,85250900
10/18/2022,141.1168518,144.012812,138.0343695,142.8249847,99136600
10/19/2022,141.2248535,142.2948839,138.9080821,139.0946042,61758300
10/20/2022,140.7634888,143.2176956,140.0370381,140.4002709,64522000
10/21/2022,144.5723877,145.1417653,140.0370043,140.2529757,86548600
10/24/2022,146.7124939,147.4782053,143.3256912,144.4938961,75981900
10/25/2022,149.5494995,149.6967609,146.62409,147.340714,74732300
10/26/2022,146.6142883,149.2059295,145.3282717,148.1947978,88194300
10/27/2022,142.1476593,146.3198108,141.4899337,145.357766,109180200
10/28/2022,152.8872681,154.6150242,145.1123429,145.4853722,164762400
10/31/2022,150.531189,151.4147122,149.1372016,150.3544933,97943200
11/1/2022,147.8904724,152.6025517,146.3983257,152.239334,80379300
11/2/2022,142.3733978,149.3826096,142.3439486,146.2215911,93604600
11/3/2022,136.3360748,140.1842686,136.2084513,139.4578181,97918500
11/4/2022,136.0705872,140.2889849,132.137343,139.7186627,140814800
